0
                    Filename,  Orb_st Orb_end,         Start_time,           End_time, Status_flag,    Npackets, Drift_start,   Drift_end, Data source,
"hsi_20051001_235100_002.fits   20009   20010 01-Oct-05 23:51:00 02-Oct-05 00:04:20           1        6698      -1.294      -1.294                            Spacecraft:vc1_20051002010841.0,vc3_20051002010841.0"
hsi_20051002_000420_002.fits   20010   20011 02-Oct-05 00:04:20 02-Oct-05 01:32:20           1       99586      -1.294      -1.294                                                 Spacecraft:vc3_20051002024949.0
hsi_20051002_013220_002.fits   20010   20011 02-Oct-05 01:32:20 02-Oct-05 01:40:20           1        4459      -1.294      -1.294                                                 Spacecraft:vc3_20051002024949.0
"hsi_20051002_014020_002.fits   20011   20012 02-Oct-05 01:40:20 02-Oct-05 03:06:40           1       99770      -1.294      -1.294                            Spacecraft:vc1_20051002182357.0,vc3_20051002182357.0"
"hsi_20051002_030640_002.fits   20011   20012 02-Oct-05 03:06:40 02-Oct-05 03:16:20           1        6784      -1.294      -1.294                            Spacecraft:vc1_20051002182357.0,vc3_20051002182357.0"
"hsi_20051002_031620_000.fits   20012   20013 02-Oct-05 03:16:20 02-Oct-05 04:41:20           1       99858      -1.294      -1.294                            Spacecraft:vc1_20051002182357.0,vc3_20051002182357.0"
"hsi_20051002_044120_000.fits   20012   20013 02-Oct-05 04:41:20 02-Oct-05 04:52:20           1       10350      -1.294      -1.294                            Spacecraft:vc1_20051002182357.0,vc3_20051002182357.0"
hsi_20051002_045220_001.fits   20013   20014 02-Oct-05 04:52:20 02-Oct-05 06:22:20           1       99779      -1.294      -1.295                                                 Spacecraft:vc3_20051002183037.0
hsi_20051002_062220_001.fits   20013   20014 02-Oct-05 06:22:20 02-Oct-05 06:28:00           1        5355      -1.295      -1.295                                                 Spacecraft:vc3_20051002183037.0
hsi_20051002_062800_001.fits   20014   20015 02-Oct-05 06:28:00 02-Oct-05 07:54:40           1       99744      -1.295      -1.295                                                 Spacecraft:vc3_20051002183037.0
hsi_20051002_075440_001.fits   20014   20015 02-Oct-05 07:54:40 02-Oct-05 08:04:00           1        8628      -1.295      -1.295                                                 Spacecraft:vc3_20051002183037.0
hsi_20051002_080400_002.fits   20015   20016 02-Oct-05 08:04:00 02-Oct-05 09:21:00           1       99515      -1.295      -1.295                                                 Spacecraft:vc3_20051002200312.0
hsi_20051002_092100_002.fits   20015   20016 02-Oct-05 09:21:00 02-Oct-05 09:40:00           1       21699      -1.295      -1.295                                                 Spacecraft:vc3_20051002200312.0
hsi_20051002_094000_002.fits   20016   20017 02-Oct-05 09:40:00 02-Oct-05 10:57:20           1       99554      -1.295      -1.295                                                 Spacecraft:vc3_20051002201151.0
hsi_20051002_105720_002.fits   20016   20017 02-Oct-05 10:57:20 02-Oct-05 11:16:00           1       20837      -1.295      -1.295                                                 Spacecraft:vc3_20051002201151.0
hsi_20051002_111600_001.fits   20017   20018 02-Oct-05 11:16:00 02-Oct-05 12:33:40           1       99833      -1.295      -1.295                                                 Spacecraft:vc3_20051002201151.0
hsi_20051002_123340_001.fits   20017   20018 02-Oct-05 12:33:40 02-Oct-05 12:52:00           1       18443      -1.295      -1.295                                                 Spacecraft:vc3_20051002201151.0
hsi_20051002_125200_002.fits   20018   20019 02-Oct-05 12:52:00 02-Oct-05 14:05:40           1       99668      -1.295      -1.296                                                 Spacecraft:vc3_20051002214404.0
hsi_20051002_140540_002.fits   20018   20019 02-Oct-05 14:05:40 02-Oct-05 14:27:40           1       22291      -1.296      -1.296                                                 Spacecraft:vc3_20051002214404.0
hsi_20051002_142740_002.fits   20019   20020 02-Oct-05 14:27:40 02-Oct-05 15:44:40           1       99980      -1.296      -1.296                                                 Spacecraft:vc3_20051002215657.0
hsi_20051002_154440_002.fits   20019   20020 02-Oct-05 15:44:40 02-Oct-05 16:03:40           1       17992      -1.296      -1.296                                                 Spacecraft:vc3_20051002215657.0
hsi_20051002_160340_002.fits   20020   20021 02-Oct-05 16:03:40 02-Oct-05 17:19:20           1       99931      -1.296      -1.296                                                 Spacecraft:vc3_20051002215657.0
hsi_20051002_171920_002.fits   20020   20021 02-Oct-05 17:19:20 02-Oct-05 17:39:40           1       19412      -1.296      -1.296                                                 Spacecraft:vc3_20051002215657.0
"hsi_20051002_173940_003.fits   20021   20022 02-Oct-05 17:39:40 02-Oct-05 18:51:20           1       99630      -1.296      -1.296                            Spacecraft:vc1_20051002232602.0,vc3_20051002232602.0"
"hsi_20051002_185120_003.fits   20021   20022 02-Oct-05 18:51:20 02-Oct-05 19:15:40           1       24326      -1.296      -1.296                            Spacecraft:vc1_20051002232602.0,vc3_20051002232602.0"
"hsi_20051002_191540_003.fits   20022   20023 02-Oct-05 19:15:40 02-Oct-05 20:26:00           1       99943      -1.296      -1.296                            Spacecraft:vc1_20051003010713.0,vc3_20051003010713.0"
"hsi_20051002_202600_003.fits   20022   20023 02-Oct-05 20:26:00 02-Oct-05 20:51:40           1       22782      -1.296      -1.296                            Spacecraft:vc1_20051003010713.0,vc3_20051003010713.0"
"hsi_20051002_205140_002.fits   20023   20024 02-Oct-05 20:51:40 02-Oct-05 22:09:40           1       99972      -1.296      -1.296                            Spacecraft:vc1_20051003010713.0,vc3_20051003010713.0"
"hsi_20051002_220940_002.fits   20023   20024 02-Oct-05 22:09:40 02-Oct-05 22:27:40           1       17456      -1.296      -1.297                            Spacecraft:vc1_20051003010713.0,vc3_20051003010713.0"
hsi_20051002_222740_002.fits   20024   20025 02-Oct-05 22:27:40 02-Oct-05 23:49:40           1       99713      -1.297      -1.297                                                 Spacecraft:vc3_20051003024901.0
hsi_20051002_234940_002.fits   20024   20025 02-Oct-05 23:49:40 03-Oct-05 00:03:20           1        5559      -1.297      -1.297                                                 Spacecraft:vc3_20051003024901.0
hsi_20051003_000320_002.fits   20025   20026 03-Oct-05 00:03:20 03-Oct-05 01:28:00           1       99906      -1.297      -1.297                                                 Spacecraft:vc3_20051003024901.0
